"ds_entidade";"Classificação Nacional de Atividades Econômicas (CNAE 2.0)";"Ano";"Receita líquida de vendas";"Custo direto de produção - Total";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção";"Receita líquida de vendas (em valores de 2019)";"Custo direto de produção - Total (em valores de 2019)";"Salários, retiradas e outras remunerações de pessoal assalariado ligado à produção (em valores de 2019)";"mkp"
"Sub_Setor";"16.2 Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis";"2007";"10618425";"5844952";"1117801";"20695334";"11391824";"2178597";"1,52503255536998"
"Setor";"17 Fabricação de celulose, papel e produtos de papel";"2007";"46845456";"24929768";"2757612";"91301896";"48588172";"5374592";"1,69194253844170"
"Sub_Setor";"17.1 Fabricação de celulose e outras pastas para a fabricação de papel";"2007";"5729720";"2165985";"191805";"11167237";"4221510";"373828";"2,43012312377269"
"Sub_Setor";"17.2 Fabricação de papel, cartolina e papel-cartão";"2007";"15560458";"8392357";"826458";"30327367";"16356722";"1610768";"1,68790218699475"
"Sub_Setor";"17.3 Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado";"2007";"11949944";"6643371";"873854";"23290467";"12947945";"1703143";"1,58967491328249"
"Sub_Setor";"17.4 Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado";"2007";"13605334";"7728053";"865495";"26516826";"15061992";"1686852";"1,58320335209625"
"Setor";"18 Impressão e reprodução de gravações";"2007";"10347614";"4365616";"1103286";"20167522";"8508595";"2150307";"1,89208254234579"
"Sub_Setor";"18.1 Atividade de impressão";"2007";"6481621";"2938507";"728112";"12632694";"5727157";"1419092";"1,76773779877320"
"Sub_Setor";"18.2 Serviços de pré-impressão e acabamentos gráficos";"2007";"2003891";"690316";"315522";"3905588";"1345427";"614953";"1,99226018503974"
"Sub_Setor";"18.3 Reprodução de materiais gravados em qualquer suporte";"2007";"1862101";"736793";"59651";"3629239";"1436011";"116260";"2,33801874331403"
"Setor";"19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"2007";"153311516";"59170770";"5577356";"298804480";"115323960";"10870279";"2,36781395032190"
"Sub_Setor";"19.1 Coquerias";"2007";"19747";"15647";"1594";"38487";"30496";"3107";"1,14535119772635"
"Sub_Setor";"19.2 Fabricação de produtos derivados do petróleo";"2007";"139113962";"50803304";"4045835";"271133416";"99015751";"7885341";"2,53630165461668"
